Date,Text
7/22/19 23:22,b'@realDonaldTrump Why did you feel it necessary to post this? Just do it without fanfare.'
,
7/22/19 23:22,b'@realDonaldTrump You are a liar. NOT ONE INCH HAS BEEN BUILT.\n#CriminalintheWH'
,
7/22/19 23:22,b'@realDonaldTrump Terrible idea and sentence structure.'
,
7/22/19 23:22,b'@realDonaldTrump FINALLY...\n\nA truthful tweet acknowledging that NO NEW WALL HAS BEEN BUILT!\n\nSo how much has your\xe2\x80\xa6 https://t.co/gYVFUNP5CN'
,
7/22/19 23:22,"b""Been saying it for 2 weeks,  @realDonaldTrump is gonna get one of those women killed by someone who thinks they're\xe2\x80\xa6 https://t.co/SsWLvm9jVM"""
,
7/22/19 23:22,"b'Unlike you @realDonaldTrump who is old, inexperienced, not very smart and DEFINITELY A RACIST! https://t.co/lHyn9Fu3dD'"
,
7/22/19 23:22,b'@AukerDean @realDonaldTrump No that was Obama he came into office with a $9 Trillion debt with $ 21Presidents befor\xe2\x80\xa6 https://t.co/LaPOXj8o5F'
,
7/22/19 23:22,"b'@realDonaldTrump You claimed Iranians were lying about breaking up a CIA spy ring, said it was fake News..So why do\xe2\x80\xa6 https://t.co/VSeetMF94x'"
,
7/22/19 23:22,b'@ajohnsonkn @SarahHuckabee @realDonaldTrump None of these sycophants and enablers ever go away. They keep popping u\xe2\x80\xa6 https://t.co/RiqoPLFAla'
,
7/22/19 23:22,b'@HikerNC @JessieJaneDuff @realDonaldTrump @TeamTrump @deneenborelli @RealDrGina @pnjaban @KayaJones @NaomiLevinNY\xe2\x80\xa6 https://t.co/8ZFedYYxmw'
,
7/22/19 23:22,"b'@realDonaldTrump Trump,  YOU are the enemy of the ppl'"
,
7/22/19 23:22,b'@realDonaldTrump Once again...the American  #L\xc3\xbcgenPr\xc3\xa4sident\n\n#LiarInChief'
,
7/22/19 23:22,"b'@TomFitton @realDonaldTrump Is there any lie, misuse of criminal code of law, or fraudulent indictment Weissmann wo\xe2\x80\xa6 https://t.co/wSaNdXAJTy'"
,
7/22/19 23:22,"b'@realDonaldTrump Have you contacted the FBI with details of how your friend, Jeffrey Epstein, sexually abused under\xe2\x80\xa6 https://t.co/9azdLdcllI'"
,
7/22/19 23:22,b'@realDonaldTrump I can\xe2\x80\x99t wait to see when all of our borders are secure! Our country will be the most secure it has\xe2\x80\xa6 https://t.co/MtxcCRpzVO'
,
7/22/19 23:22,b'@realDonaldTrump Thank you for your leadership President Trump!'
,
7/22/19 23:22,b'@UselessNobodyYT @notaxation @realDonaldTrump Is all subtly based on racism. I think that\xe2\x80\x99s what he\xe2\x80\x99s going for. I\xe2\x80\x99\xe2\x80\xa6 https://t.co/PbuzM1qxDg'
,
7/22/19 23:22,"b""@realDonaldTrump Aren't you glad you have reasonable Democratic leaders to work with you?"""
,
7/22/19 23:22,b'@realDonaldTrump It\xe2\x80\x99s a sad state of affairs when Iranian mullahs have more credibility than you'
,
7/22/19 23:22,b'@realDonaldTrump Who cares? #CloseTheCampsNow #ReuniteFamilies'
,
7/22/19 23:22,b'@realDonaldTrump Our debt is out of control!'
,
7/22/19 23:22,b'@realDonaldTrump Religious Regime?  But surely you are talking about Israel?'
,
7/22/19 23:22,b'@Wesihcfan @TheGussReport @justjanedoee @tedlieu @realDonaldTrump @betty_lieu 1 You will not find me condoning base\xe2\x80\xa6 https://t.co/rOvG7XLiui'
,
7/22/19 23:22,"b""@randy_osmond @RNCastaldo @realDonaldTrump I'd be careful with such serious allegations.  There's no proof."""
,
7/22/19 23:22,b'@ColinCjgarry @brssrq @DearAuntCrabby @realDonaldTrump Only one civil war here and a war before it to kick out some\xe2\x80\xa6 https://t.co/yOCfe6Zv0i'
,
7/22/19 23:22,"b'@realDonaldTrump So I\'m guessing you don\'t know the definition of ""new"" either'"
,
7/22/19 23:22,b'@teamplayer2017 @Justin43769061 @bluskylar @MrBrown419 @DaisyWestover @ChatByCC @realDonaldTrump @JerryNadler And snorting toilet water'
,
7/22/19 23:22,b'@NoWay7790 @realDonaldTrump Seek counseling'
,
7/22/19 23:22,"b'@realDonaldTrump Saying ""bad"" things about America is ONE OF THINGS THAT MAKES AMERICA GREAT!!  People can disagree\xe2\x80\xa6 https://t.co/sD4thJaMZ9'"
,
7/22/19 23:22,b'@realDonaldTrump What exactly is a \xe2\x80\x9cpowerful\xe2\x80\x9d wall \xf0\x9f\xa4\x94 electrified \xe2\x9a\xa1\xef\xb8\x8f ??'
,
7/22/19 23:22,b'@realDonaldTrump Show us the new wall...I double date ya!'
,
7/22/19 23:22,b'@realDonaldTrump Your own department says otherwise!!! What colour is the sky in your world? It must be pretty ...'
,
